"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"170";"prince william county public schools";2008-08-26;2600;"DISC";"EDU";"Nonprofit organization";2008
"173";"keller high school";2008-08-18;45;"DISC";"EDU";"Nonprofit organization";2008
"174";"wuesthoff medical center";2008-08-14;500;"HACK";"MED";"Nonprofit organization";2008
"175";"charter communications";2008-08-13;9000;"PORT";"BSO";"Nonprofit organization";2008
"176";"wells fargo";2008-08-12;5000;"HACK";"BSF";"Nonprofit organization";2008
"178";"harris county hospital";2008-08-07;1200;"PORT";"MED";"Nonprofit organization";2008
"179";"the clear program fast pass registered travel program for airline passengers operated by verified identity pass for the u s transportation security admin";2008-08-05;33000;"PORT";"BSO";"Media";2008
"180";"arapahoe community college";2008-08-04;15000;"PORT";"EDU";"Nonprofit organization";2008
"182";"clarkson university";2008-09-02;245;"DISC";"EDU";"Nonprofit organization";2008
"184";"city of yuma";2008-07-31;300;"DISC";"GOV";"Nonprofit organization";2008
"185";"blue cross and blue shield of georgia";2008-07-29;202000;"DISC";"MED";"Nonprofit organization";2008
"187";"village of tinley park";2008-07-24;20400;"PORT";"GOV";"Nonprofit organization";2008
"188";"hillsborough community college";2008-07-24;2000;"PHYS";"EDU";"Nonprofit organization";2008
"189";"university of houston";2008-07-24;259;"DISC";"EDU";"Nonprofit organization";2008
"191";"minneapolis veterans home";2008-07-19;336;"STAT";"GOV";"Nonprofit organization";2008
"192";"bristol myers squibb";2008-07-17;42000;"PORT";"BSO";"Nonprofit organization";2008
"193";"university of maryland";2008-07-17;23000;"DISC";"EDU";"Nonprofit organization";2008
"194";"department of consumer affairs";2008-07-17;5000;"INSD";"GOV";"Nonprofit organization";2008
"195";"greensboro gynecology associates";2008-07-16;47000;"PORT";"MED";"Nonprofit organization";2008
"197";"missouri national guard";2008-07-15;2000;NA;"GOV";"Nonprofit organization";2008
"198";"washington metropolitan area transit authority";2008-07-14;4700;"DISC";"GOV";"Nonprofit organization";2008
"200";"texas department of public safety";2008-06-26;826;"PHYS";"GOV";"Nonprofit organization";2008
"201";"southeast missouri state university";2008-06-24;800;"INSD";"EDU";"Nonprofit organization";2008
"204";"dickson county board of education";2008-06-11;850;"PORT";"EDU";"Nonprofit organization";2008
"206";"university of florida";2008-06-10;11300;"DISC";"EDU";"Nonprofit organization";2008
"208";"university of south carolina";2008-06-09;7000;"STAT";"EDU";"Nonprofit organization";2008
"209";"southington water department";2008-06-07;26;"PHYS";"GOV";"Media";2008
"210";"east tennessee state university";2008-06-07;6200;"STAT";"EDU";"Nonprofit organization";2008
"211";"stanford university";2008-06-06;72000;"PORT";"EDU";"Nonprofit organization";2008
"212";"oregon state university";2008-06-04;4700;"HACK";"EDU";"Nonprofit organization";2008
"213";"circuit court of louisville";2008-05-30;312;"PHYS";"GOV";"Media";2008
"214";"state street corp investors financial services";2008-05-29;45500;"STAT";"BSF";"Nonprofit organization";2008
"215";"healthspring inc";2008-05-22;9000;"PORT";"MED";"Nonprofit organization";2008
"216";"oklahoma corporation commission";2008-05-21;5000;"STAT";"GOV";"Media";2008
"217";"new york university";2008-05-20;273;"DISC";"EDU";"Nonprofit organization";2008
"218";"university of louisville";2008-05-17;20;"PHYS";"EDU";"Nonprofit organization";2008
"222";"oklahoma state university";2008-05-14;70000;"HACK";"EDU";"Nonprofit organization";2008
"223";"princeton university tower club";2008-05-09;103;"DISC";"EDU";"Nonprofit organization";2008
"224";"las cruces public schools";2008-05-08;1800;"DISC";"EDU";"Nonprofit organization";2008
"225";"ohio state university agricultural technical institute";2008-05-06;192;"DISC";"EDU";"Nonprofit organization";2008
"226";"international visa service";2008-05-06;1000;"INSD";"BSO";"Nonprofit organization";2008
"228";"iredell county tax administration";2008-05-05;486;"PHYS";"GOV";"Nonprofit organization";2008
"229";"staten island university hospital";2008-05-04;88000;"STAT";"MED";"Nonprofit organization";2008
"230";"marine corps reserve center";2008-05-02;17000;"INSD";"GOV";"Media";2008
"232";"hough macadam wartnik";2008-04-28;500;"PORT";"BSO";"Nonprofit organization";2008
"234";"baltimore highway administration";2008-04-25;1800;"DISC";"GOV";"Nonprofit organization";2008
"236";"collections lawyers pellegrino feldstein";2008-04-24;530;"DISC";"BSO";"Nonprofit organization";2008
"237";"university of texas health science center";2008-04-23;2000;"DISC";"MED";"Nonprofit organization";2008
"238";"southern connecticut state university";2008-04-23;11000;"HACK";"EDU";"Nonprofit organization";2008
"240";"central new england healthalliance";2008-04-22;384;"PORT";"MED";"Media";2008
"242";"central collection bureau";2008-04-19;7e+05;"STAT";"BSO";"Nonprofit organization";2008
"243";"university of miami";2008-04-17;2100000;"PORT";"MED";"Nonprofit organization";2008
"245";"university of virginia";2008-04-16;7000;"PORT";"EDU";"Nonprofit organization";2008
"246";"oklahoma s department of corrections";2008-04-15;10597;"DISC";"GOV";"Media";2008
"247";"stokes county high schools";2008-04-14;800;"STAT";"EDU";"Nonprofit organization";2008
"248";"university of toledo";2008-04-13;6488;"DISC";"EDU";"Nonprofit organization";2008
"249";"west seneca school district";2008-04-12;1800;"HACK";"EDU";"Nonprofit organization";2008
"250";"new york presbyterian hospital weill cornell medical center";2008-04-11;49841;"INSD";"MED";"Nonprofit organization";2008
"252";"norfolk s community services board";2008-04-09;30;"PHYS";"NGO";"Media";2008
"253";"wellpoint";2008-04-08;128000;"DISC";"BSO";"Nonprofit organization";2008
"254";"wellcare health plans inc";2008-04-08;71000;"DISC";"MED";"Nonprofit organization";2008
"255";"pfizer inc";2008-04-07;800;"PORT";"BSO";"Nonprofit organization";2008
"256";"harley davidson inc hog";2008-04-04;60000;"PORT";"BSO";"Media";2008
"257";"okemo mountain resort";2008-04-01;28168;"HACK";"BSO";"Nonprofit organization";2008
"258";"advance auto parts";2008-03-31;56000;"HACK";"BSR";"Nonprofit organization";2008
"260";"san quentin state prison";2008-03-29;3500;"PORT";"GOV";"Media";2008
"261";"antioch university";2008-03-28;70000;"HACK";"EDU";"Nonprofit organization";2008
"262";"museum of science boston";2008-03-28;140;"DISC";"NGO";"Nonprofit organization";2008
"263";"broward school district";2008-03-26;38000;"HACK";"EDU";"Nonprofit organization";2008
"264";"western carolina university";2008-03-22;555;"HACK";"EDU";"Nonprofit organization";2008
"265";"compass bank";2008-03-21;1e+06;"INSD";"BSF";"Nonprofit organization";2008
"266";"rhode island department of administration";2008-03-21;1400;"PORT";"GOV";"Nonprofit organization";2008
"268";"pennsylvania department of state";2008-03-20;30000;"DISC";"GOV";"Media";2008
"270";"binghamton university";2008-03-17;300;"DISC";"EDU";"Nonprofit organization";2008
"271";"harvard university";2008-03-12;6600;"HACK";"EDU";"Nonprofit organization";2008
"272";"central florida regional hospital";2008-03-10;28;"PHYS";"MED";"Media";2008
"274";"blue cross blue shield of western new york";2008-03-10;40000;"PORT";"MED";"Nonprofit organization";2008
"275";"mtv networks";2008-03-08;5000;"HACK";"BSO";"Nonprofit organization";2008
"276";"nevada department of public safety";2008-03-05;109;"PORT";"GOV";"Nonprofit organization";2008
"277";"kaft foods";2008-03-03;20000;"PORT";"BSO";"Nonprofit organization";2008
"278";"wellesley health department";2008-02-29;480;"PHYS";"GOV";"Nonprofit organization";2008
"279";"health net federal services";2008-02-27;103000;"DISC";"MED";"Nonprofit organization";2008
"281";"texas a m university";2008-02-16;3000;"DISC";"EDU";"Nonprofit organization";2008
"283";"crosslines ministries of carthage";2008-02-15;2000;"PHYS";"NGO";"Nonprofit organization";2008
"284";"tenet healthcare corporation";2008-02-14;37000;"INSD";"MED";"Nonprofit organization";2008
"286";"lifeblood";2008-02-13;321000;"PORT";"MED";"Nonprofit organization";2008
"287";"middle tennessee state university";2008-02-13;1500;"STAT";"EDU";"Nonprofit organization";2008
"288";"long island university";2008-02-12;30000;"PHYS";"EDU";"Nonprofit organization";2008
"289";"jefferson county public schools";2008-02-11;2900;"PORT";"EDU";"Nonprofit organization";2008
"292";"memorial hospital";2008-02-07;4300;"PORT";"MED";"Nonprofit organization";2008
"293";"diocese of providence";2008-02-02;5000;"STAT";"NGO";"Nonprofit organization";2008
"294";"south carolina department of health and environmental control in spartanburg cherokee union greenville and pickens counties";2008-01-31;400;"PORT";"GOV";NA;2008
"295";"university of minnesota reproductive medicine center";2008-01-31;3100;"PORT";"MED";"Nonprofit organization";2008
"296";"georgetown university";2008-01-29;38000;"PORT";"EDU";"Nonprofit organization";2008
"297";"horizon blue cross blue shield";2008-01-29;3e+05;"PORT";"MED";"Nonprofit organization";2008
"298";"penn state university";2008-01-25;677;"PORT";"EDU";"Nonprofit organization";2008
"299";"fallon community health plan";2008-01-24;29800;"PORT";"MED";"Nonprofit organization";2008
"301";"ge money iron mountain";2008-01-17;150000;"PORT";"BSF";"Nonprofit organization";2008
"302";"department of revenue wisconsin";2008-01-15;5000;"PHYS";"GOV";"Nonprofit organization";2008
"304";"tennessee tech university";2008-01-14;990;"PORT";"EDU";"Nonprofit organization";2008
"306";"university of akron";2008-01-11;800;"PORT";"EDU";"Nonprofit organization";2008
"307";"university of iowa";2008-01-11;216;"DISC";"EDU";"Nonprofit organization";2008
"308";"virginia department of social services";2008-01-11;1500;"INSD";"GOV";"Nonprofit organization";2008
"309";"select physical therapy";2008-01-10;4000;"PHYS";"MED";"Nonprofit organization";2008
"310";"wisconsin department of health and family services";2008-01-08;260000;"DISC";"GOV";"Nonprofit organization";2008
"314";"health net";2008-01-04;5000;"PORT";"MED";"Nonprofit organization";2008
"315";"maryland department of assessments and taxation";2008-01-04;900;"DISC";"GOV";"Nonprofit organization";2008
"318";"workers compensation fund";2008-01-02;2800;"PORT";"BSO";"Nonprofit organization";2008
"319";"dormitory authority of the state of new york";2007-12-20;800;"PORT";"NGO";"Nonprofit organization";2007
"320";"pennsylvania department of aging";2007-12-18;21000;"PORT";"GOV";"Nonprofit organization";2007
"321";"west penn allegheny health system";2007-12-17;42000;"PORT";"MED";"Nonprofit organization";2007
"323";"sutter lakeside hospital";2007-12-10;45000;"PORT";"MED";"Nonprofit organization";2007
"325";"iowa department of natural resources";2007-12-10;7000;"PORT";"GOV";"Nonprofit organization";2007
"326";"oak ridge national laboratory";2007-12-06;12000;"HACK";"GOV";"Nonprofit organization";2007
"327";"memorial blood centers";2007-12-05;268000;"PORT";"MED";"Nonprofit organization";2007
"329";"battelle battelle llc";2007-12-01;600;"PORT";"BSO";"Nonprofit organization";2007
"330";"indianapolis power and light";2007-12-04;3000;"DISC";"BSO";"Nonprofit organization";2007
"331";"duke university";2007-12-04;1400;"HACK";"EDU";"Nonprofit organization";2007
"332";"university of florida";2007-11-21;415;"DISC";"EDU";"Nonprofit organization";2007
"336";"u s department of veteran affairs";2007-11-16;185000;"INSD";"GOV";"Nonprofit organization";2007
"337";"carolinas medical center northeast";2007-11-07;28000;"PORT";"MED";"Nonprofit organization";2007
"339";"montana state university";2007-11-02;216;"PORT";"EDU";"Nonprofit organization";2007
"340";"montana state university";2007-11-02;42;"DISC";"EDU";"Nonprofit organization";2007
"341";"montana state university";2007-11-02;13;"DISC";"EDU";"Nonprofit organization";2007
"342";"university of nevada reno";2007-10-30;16000;"PORT";"EDU";"Nonprofit organization";2007
"343";"hartford financial services group";2007-10-30;230000;"PORT";"BSF";"Nonprofit organization";2007
"344";"pathology group";2007-10-30;75000;"STAT";"MED";"Nonprofit organization";2007
"345";"united states postal service";2007-10-29;3000;"PORT";"GOV";"Nonprofit organization";2007
"349";"university of akron";2007-10-25;1200;"PORT";"EDU";"Nonprofit organization";2007
"351";"west virginia public employees insurance agency";2007-10-23;2e+05;"PORT";"MED";"Nonprofit organization";2007
"352";"dixie state college";2007-10-23;11000;"DISC";"EDU";"Nonprofit organization";2007
"353";"bates college";2007-10-23;500;"DISC";"EDU";"Nonprofit organization";2007
"354";"university of cincinnati";2007-10-18;7000;"PORT";"EDU";"Nonprofit organization";2007
"356";"administaff inc";2007-10-16;159000;"PORT";"BSO";"Nonprofit organization";2007
"357";"home depot";2007-10-17;10000;"PORT";"BSR";"Nonprofit organization";2007
"358";"wheels inc pfizer";2007-10-10;1823;"DISC";"BSO";"Nonprofit organization";2007
"359";"transportation security administration";2007-10-15;3930;"PORT";"GOV";"Nonprofit organization";2007
"360";"king county transportation department";2007-10-12;1400;"PORT";"GOV";"Nonprofit organization";2007
"361";"commerce bank";2007-10-10;20;"HACK";"BSF";"Nonprofit organization";2007
"363";"university of iowa";2007-10-08;184;"PORT";"EDU";"Nonprofit organization";2007
"365";"massachusetts division of professional licensure";2007-10-04;450000;"DISC";"GOV";"Nonprofit organization";2007
"366";"the nature conservancy";2007-10-02;14000;"HACK";"NGO";"Nonprofit organization";2007
"367";"utah department of workforce services";2007-09-24;2000;"PORT";"GOV";"Nonprofit organization";2007
"369";"city of columbus ohio";2007-09-21;3500;"STAT";"GOV";"Nonprofit organization";2007
"370";"citigroup abn amro mortgage group";2007-09-21;5208;"DISC";"BSF";"Media";2007
"372";"university of michigan school of nursing";2007-09-19;8585;"PORT";"MED";"Nonprofit organization";2007
"373";"state of connecticut accenture ltd";2007-09-20;58;"PORT";"GOV";"Media";2007
"374";"tenncare americhoice inc";2007-09-12;67000;"PORT";"MED";"Nonprofit organization";2007
"375";"tennessee tech university";2007-09-14;3100;"DISC";"EDU";"Nonprofit organization";2007
"376";"voxant com";2007-09-13;4500;"HACK";"BSO";"Nonprofit organization";2007
"377";"pennsylvania public welfare department";2007-09-11;2000;"STAT";"GOV";"Nonprofit organization";2007
"378";"purdue university";2007-09-10;111;"DISC";"EDU";"Nonprofit organization";2007
"379";"de anza college";2007-09-09;4375;"PORT";"EDU";"Nonprofit organization";2007
"380";"university of south carolina";2007-09-06;1482;"DISC";"EDU";"Nonprofit organization";2007
"381";"pfizer";2007-09-04;34000;"INSD";"BSO";"Nonprofit organization";2007
"382";"johns hopkins hospital";2007-09-01;5783;"STAT";"MED";"Nonprofit organization";2007
"385";"university of illinois";2007-08-27;5247;"DISC";"EDU";"Media";2007
"386";"american ex prisoners of war";2007-08-26;35000;NA;"NGO";NA;2007
"387";"new york city financial nformation services agency";2007-08-23;280000;"PORT";"GOV";"Nonprofit organization";2007
"391";"idaho army national guard";2007-08-15;3400;"PORT";"GOV";"Nonprofit organization";2007
"394";"sky lakes medical center verus inc";2007-08-15;30000;"DISC";"MED";"Nonprofit organization";2007
"395";"pfizer axia ltd";2007-08-13;950;"PORT";"BSO";"Nonprofit organization";2007
"396";"loyola university";2007-08-10;5800;"STAT";"EDU";"Nonprofit organization";2007
"397";"providence alaska medical center";2007-08-11;250;"PORT";"MED";"Nonprofit organization";2007
"398";"legacy health system";2007-08-10;747;"INSD";"MED";"Nonprofit organization";2007
"399";"yale university";2007-08-08;10200;"STAT";"EDU";"Nonprofit organization";2007
"400";"electronic data systems";2007-08-07;498;"INSD";"BSO";"Nonprofit organization";2007
"401";"merrill lynch";2007-08-07;33000;NA;"BSF";"Nonprofit organization";2007
"409";"yuba county health and human services";2007-07-28;70000;"PORT";"MED";"Nonprofit organization";2007
"410";"university of michigan";2007-07-21;5500;"HACK";"EDU";"Nonprofit organization";2007
"411";"cricket communications";2007-07-19;300;"PHYS";"BSO";"Nonprofit organization";2007
"412";"jackson local schools";2007-07-19;1800;"DISC";"EDU";"Nonprofit organization";2007
"413";"connecticut general assembly transportation committee l g defelice";2007-07-18;300;"DISC";"GOV";"Nonprofit organization";2007
"414";"western union";2007-07-17;20000;"HACK";"BSF";"Nonprofit organization";2007
"415";"louisiana board of regents";2007-07-17;80000;"DISC";"GOV";"Nonprofit organization";2007
"416";"transportation security administration tsa";2007-07-16;1e+05;"PORT";"GOV";"Media";2007
"417";"westminster college";2007-07-15;100;"DISC";"EDU";"Media";2007
"418";"city of encinitas";2007-07-13;1200;"DISC";"GOV";"Nonprofit organization";2007
"419";"metropolitan st louis sewer district";2007-07-13;1600;"INSD";"GOV";"Nonprofit organization";2007
